Year,PV_M,On_W_M,Off_W_M,HP_M,SMR_M
2026,141.1,158.69,202.67,90.46,120.41
2027,142.1,159.23,199.83,89.28,119.52
2028,139.96,159.08,196.53,91.13,123.28
2029,139.04,159.46,195.41,93.78,116.19
2030,138.8,159.26,199.44,91.27,121.46
2031,133.56,159.43,196.06,90.39,120.94
2032,137.49,159.51,195.98,91.31,117.99
2033,139.25,157.56,192.77,88.66,119.98
2034,134.97,160.32,190.97,91.99,123.47
2035,135.62,157.75,194.79,89.06,119.32
2036,134.85,156.2,192.67,92.42,120.03
2037,134.01,157.25,191.39,92.5,118.85
2038,131.75,158.7,189.58,93.28,120.54
2039,132.58,157.13,188.77,95.32,121.54
2040,134.68,156.06,187.01,93.88,119.71
2041,133.33,155.45,186.0,91.39,117.36
2042,128.13,156.22,184.58,93.81,121.95
2043,132.99,151.98,186.29,94.15,117.52
2044,131.32,154.33,188.24,92.94,120.58
2045,132.2,155.49,186.15,96.79,119.6
2046,129.61,156.68,182.15,91.87,121.5
2047,132.0,156.34,184.08,96.18,119.85
2048,130.37,153.61,184.36,91.85,121.33
2049,128.61,156.1,181.69,94.53,121.06
2050,127.13,153.87,183.49,93.12,120.18
