Year,VC_M,FC_M,BC_M,EAC_M,SMP_M,UC_IC,UC_CJ,UC_YI
2026,111.36,25.0,7500,50.0,1.0,111.36,114.7,109.13
2027,111.64,25.3,7530,50.8,1.0,111.64,114.98,109.4
2028,110.69,25.6,7560,51.6,1.0,110.69,114.01,108.48
2029,113.53,25.9,7590,52.4,1.0,113.53,116.93,111.25
2030,113.68,26.2,7620,53.2,1.0,113.68,117.09,111.41
2031,117.23,26.5,7650,54.0,1.0,117.23,120.75,114.89
2032,118.82,26.8,7680,54.8,1.0,118.82,122.39,116.45
2033,118.52,27.1,7710,55.6,1.0,118.52,122.07,116.15
2034,120.02,27.4,7740,56.4,1.0,120.02,123.62,117.61
2035,120.53,27.7,7770,57.2,1.0,120.53,124.14,118.11
2036,121.21,28.0,7800,58.0,1.0,121.21,124.85,118.79
2037,123.23,28.3,7830,58.8,1.0,123.23,126.92,120.76
2038,123.74,28.6,7860,59.6,1.0,123.74,127.46,121.27
2039,124.45,28.9,7890,60.4,1.0,124.45,128.18,121.96
2040,125.34,29.2,7920,61.2,1.0,125.34,129.1,122.84
2041,127.73,29.5,7950,62.0,1.0,127.73,131.56,125.18
2042,129.12,29.8,7980,62.8,1.0,129.12,132.99,126.53
2043,132.45,30.1,8010,63.6,1.0,132.45,136.43,129.8
2044,131.0,30.4,8040,64.4,1.0,131.0,134.93,128.38
2045,132.76,30.7,8070,65.2,1.0,132.76,136.75,130.11
2046,135.01,31.0,8100,66.0,1.0,135.01,139.06,132.31
2047,134.72,31.3,8130,66.8,1.0,134.72,138.76,132.03
2048,136.83,31.6,8160,67.6,1.0,136.83,140.93,134.09
2049,138.0,31.9,8190,68.4,1.0,138.0,142.14,135.24
2050,137.79,32.2,8220,69.2,1.0,137.79,141.92,135.03
