Year,SKH,SKH_Peak,SKH_Peak_Min,A,B,C,A_Peak,B_Peak,C_Peak,A_Peak_Min,B_Peak_Min,C_Peak_Min,SEC,RE33,RE33_SEC,RE44,RE44_SEC
2026,2000000.0,296.8,228.31,800000.0,700000.0,500000.0,118.72,103.88,74.2,91.32,79.91,57.08,500000.0,0.31,0.33,0.42,0.44
2027,2020000.0,299.77,230.59,808000.0,707000.0,505000.0,119.91,104.92,74.94,92.24,80.71,57.65,505000.0,0.3379,0.3579,0.4433,0.4633
2028,2040200.0,302.77,232.9,816080.0,714070.0,510050.0,121.11,105.97,75.69,93.16,81.51,58.22,510050.0,0.3658,0.3858,0.4667,0.4867
2029,2060602.0,305.8,235.23,824240.8,721210.7,515150.5,122.32,107.03,76.45,94.09,82.33,58.81,515150.5,0.3937,0.4138,0.49,0.51
2030,2081208.0,308.86,237.58,832483.2,728422.8,520302.0,123.54,108.1,77.21,95.03,83.15,59.4,520302.0,0.4217,0.4417,0.5133,0.5333
2031,2102020.1,311.94,239.96,840808.0,735707.0,525505.0,124.78,109.18,77.99,95.98,83.98,59.99,525505.0,0.4496,0.4696,0.5367,0.5567
2032,2123040.3,315.06,242.36,849216.1,743064.1,530760.1,126.03,110.27,78.77,96.94,84.82,60.59,530760.1,0.4775,0.4975,0.56,0.58
2033,2144270.7,318.21,244.78,857708.3,750494.7,536067.7,127.29,111.37,79.55,97.91,85.67,61.19,536067.7,0.5054,0.5254,0.5833,0.6033
2034,2165713.4,321.4,247.23,866285.4,757999.7,541428.4,128.56,112.49,80.35,98.89,86.53,61.81,541428.4,0.5333,0.5533,0.6067,0.6267
2035,2187370.5,324.61,249.7,874948.2,765579.7,546842.6,129.84,113.61,81.15,99.88,87.39,62.42,546842.6,0.5613,0.5813,0.63,0.65
2036,2209244.3,327.86,252.2,883697.7,773235.5,552311.1,131.14,114.75,81.96,100.88,88.27,63.05,552311.1,0.5892,0.6092,0.6533,0.6733
2037,2231336.7,331.13,254.72,892534.7,780967.8,557834.2,132.45,115.9,82.78,101.89,89.15,63.68,557834.2,0.6171,0.6371,0.6767,0.6967
2038,2253650.1,334.45,257.27,901460.0,788777.5,563412.5,133.78,117.06,83.61,102.91,90.04,64.32,563412.5,0.645,0.665,0.7,0.72
2039,2276186.6,337.79,259.84,910474.6,796665.3,569046.6,135.12,118.23,84.45,103.94,90.94,64.96,569046.6,0.6729,0.6929,0.7233,0.7433
2040,2298948.4,341.17,262.44,919579.4,804631.9,574737.1,136.47,119.41,85.29,104.97,91.85,65.61,574737.1,0.7008,0.7208,0.7467,0.7667
2041,2321937.9,344.58,265.06,928775.2,812678.3,580484.5,137.83,120.6,86.14,106.02,92.77,66.27,580484.5,0.7288,0.7488,0.77,0.79
2042,2345157.3,348.03,267.71,938062.9,820805.1,586289.3,139.21,121.81,87.01,107.08,93.7,66.93,586289.3,0.7567,0.7767,0.7933,0.8133
2043,2368608.9,351.51,270.39,947443.5,829013.1,592152.2,140.6,123.03,87.88,108.16,94.64,67.6,592152.2,0.7846,0.8046,0.8167,0.8367
2044,2392295.0,355.02,273.09,956918.0,837303.2,598073.7,142.01,124.26,88.76,109.24,95.58,68.27,598073.7,0.8125,0.8325,0.84,0.86
2045,2416217.9,358.57,275.82,966487.2,845676.3,604054.5,143.43,125.5,89.64,110.33,96.54,68.96,604054.5,0.8404,0.8604,0.8633,0.8833
2046,2440380.1,362.16,278.58,976152.0,854133.0,610095.0,144.86,126.75,90.54,111.43,97.5,69.65,610095.0,0.8683,0.8883,0.8867,0.9067
2047,2464783.9,365.78,281.37,985913.6,862674.4,616196.0,146.31,128.02,91.44,112.55,98.48,70.34,616196.0,0.8962,0.9163,0.91,0.93
2048,2489431.7,369.44,284.18,995772.7,871301.1,622357.9,147.77,129.3,92.36,113.67,99.46,71.05,622357.9,0.9242,0.9442,0.9333,0.9533
2049,2514326.0,373.13,287.02,1005730.4,880014.1,628581.5,149.25,130.6,93.28,114.81,100.46,71.76,628581.5,0.9521,0.9721,0.9567,0.9767
2050,2539469.3,376.86,289.89,1015787.7,888814.3,634867.3,150.74,131.9,94.22,115.96,101.46,72.47,634867.3,0.98,1.0,0.98,1.0
