Year,Month,Day,Hour,PV_GENERATION_2,WT_GENERATION,SMP,Factor_ADJ,고압B 선택2,고압B 선택3,고압C 선택2
2026,1,1,0,0.0,0.5866,84.0,1.075,1.075,1.1072,1.0535
2026,1,1,1,0.0,0.6401,95.87,1.0388,1.0388,1.07,1.018
2026,1,1,2,0.0,0.3159,75.43,1.0,1.0,1.03,0.98
2026,1,1,3,0.0,0.5653,82.47,0.9612,0.9612,0.99,0.942
2026,1,1,4,0.0,0.548,79.03,0.925,0.925,0.9528,0.9065
2026,1,1,5,0.0,0.6555,94.57,0.8939,0.8939,0.9208,0.8761
2026,1,1,6,0.0033,0.6853,96.06,0.8701,0.8701,0.8962,0.8527
2026,1,1,7,0.071,0.5943,89.83,0.8551,0.8551,0.8808,0.838
2026,1,1,8,0.264,0.544,102.05,0.85,0.85,0.8755,0.833
2026,1,1,9,0.2772,0.6967,108.76,0.8551,0.8551,0.8808,0.838
2026,1,1,10,0.3598,0.5077,120.73,0.8701,0.8701,0.8962,0.8527
2026,1,1,11,0.4435,0.5995,125.95,0.8939,0.8939,0.9208,0.8761
2026,1,1,12,0.5473,0.5012,123.58,0.925,0.925,0.9528,0.9065
2026,1,1,13,0.3845,0.6239,140.68,0.9612,0.9612,0.99,0.942
2026,1,1,14,0.3755,0.4492,127.55,1.0,1.0,1.03,0.98
2026,1,1,15,0.3438,0.6392,139.35,1.0388,1.0388,1.07,1.018
2026,1,1,16,0.1868,0.5779,135.08,1.075,1.075,1.1072,1.0535
2026,1,1,17,0.1249,0.6546,133.44,1.1061,1.1061,1.1392,1.0839
2026,1,1,18,0.0339,0.5581,129.99,1.1299,1.1299,1.1638,1.1073
2026,1,1,19,0.0,0.6258,110.84,1.1449,1.1449,1.1792,1.122
2026,1,1,20,0.0,0.5116,112.71,1.15,1.15,1.1845,1.127
2026,1,1,21,0.0,0.4733,107.8,1.1449,1.1449,1.1792,1.122
2026,1,1,22,0.0,0.7294,96.6,1.1299,1.1299,1.1638,1.1073
2026,1,1,23,0.0,0.6662,84.04,1.1061,1.1061,1.1392,1.0839
2026,1,2,0,0.0,0.5098,93.62,1.075,1.075,1.1072,1.0535
2026,1,2,1,0.0,0.6203,94.04,1.0388,1.0388,1.07,1.018
2026,1,2,2,0.0,0.6452,83.06,1.0,1.0,1.03,0.98
